IDSUBSLS,IDSLS,KDKEC,KDDESA,NMKEC,NMDESA,NMSLS
1708050005000800,17080500050008,050,005,KEPAHIANG,PASAR UJUNG,RT 8 RW 3
1708040006000100,17080400060001,040,006,TEBAT KARAI,TEBAT KARAI,RT 1 RW 1
1708050007000400,17080500070004,050,007,KEPAHIANG,WESKUST,DUSUN 4
1708030005000100,17080300050001,030,005,SEBERANG MUSI,LUBUK SAHUNG,DUSUN 1
1708010005000100,17080100050001,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 1
1708040009000100,17080400090001,040,009,TEBAT KARAI,KARANG TENGAH,DUSUN 1
1708030009000100,17080300090001,030,009,SEBERANG MUSI,TALANG GELOMPOK,DUSUN 1
1708080002000300,17080800020003,080,002,MERIGI,BUKIT BARISAN,DUSUN 3
1708080007000400,17080800070004,080,007,MERIGI,BATU AMPAR,DUSUN 4
1708040014000300,17080400140003,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,DUSUN 3
1708060012000100,17080600120001,060,012,KABA WETAN,SUMBER SARI,DUSUN 1
1708030004000300,17080300040003,030,004,SEBERANG MUSI,TABA PADANG,DUSUN 3
1708010005100100,17080100051001,010,005,MUARA KEMUMU,BATU BANDUNG,PERKEBUNAN RAKYAT
1708070003000200,17080700030002,070,003,UJAN MAS,UJAN MAS ATAS,RT 2 RW 1
1708070001000400,17080700010004,070,001,UJAN MAS,DASPETAH,DUSUN 4
1708050005001200,17080500050012,050,005,KEPAHIANG,PASAR UJUNG,RT 12 RW 4
1708050019000500,17080500190005,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 5 RW 2
1708070016000100,17080700160001,070,016,UJAN MAS,AIR HITAM,DUSUN 1
1708020018000100,17080200180001,020,018,BERMANI ILIR,LANGGAR JAYA,DUSUN 1
1708050020000200,17080500200002,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 2 RW 1
1708030004000100,17080300040001,030,004,SEBERANG MUSI,TABA PADANG,DUSUN 1
1708050010000100,17080500100001,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 1 RW 1
1708070005000400,17080700050004,070,005,UJAN MAS,SURO ILIR,DUSUN 4
1708070005000200,17080700050002,070,005,UJAN MAS,SURO ILIR,DUSUN 2
1708070013000300,17080700130003,070,013,UJAN MAS,TANJUNG ALAM,DUSUN 3
1708050003000400,17080500030004,050,003,KEPAHIANG,IMIGRASI PERMU,DUSUN 4
1708030004000200,17080300040002,030,004,SEBERANG MUSI,TABA PADANG,DUSUN 2
1708050006000100,17080500060001,050,006,KEPAHIANG,KARANG ENDAH,DUSUN 1
1708010005000800,17080100050008,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 8
1708070008000400,17080700080004,070,008,UJAN MAS,PEKALONGAN,DUSUN 4
1708070014000201,17080700140002,070,014,UJAN MAS,PUNGGUK BERINGANG,DUSUN 2
1708070014000100,17080700140001,070,014,UJAN MAS,PUNGGUK BERINGANG,DUSUN 1
1708010004000500,17080100040005,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 5
1708070001200200,17080700012002,070,001,UJAN MAS,DASPETAH,HUTAN
1708010007000800,17080100070008,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 8
1708070007000300,17080700070003,070,007,UJAN MAS,SURO BARU,DUSUN 3
1708040013100200,17080400131002,040,013,TEBAT KARAI,TABA SALING,PEREKEBUNAN
1708050002000300,17080500020003,050,002,KEPAHIANG,KELILIK,DUSUN 3
1708060016000300,17080600160003,060,016,KABA WETAN,BANDUNG JAYA,DUSUN 3
1708060007100100,17080600071001,060,007,KABA WETAN,BARAT WETAN,KOMPLEK / MES PT TRISULA
1708070011000100,17080700110001,070,011,UJAN MAS,CUGUNG LALANG,DUSUN 1
1708070006000100,17080700060001,070,006,UJAN MAS,SURO MUNCAR,DUSUN 1
1708050010000500,17080500100005,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 5 RW 2
1708050021001800,17080500210018,050,021,KEPAHIANG,PADANG LEKAT,RT 18 RW 3
1708010004000700,17080100040007,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 7
1708060016000200,17080600160002,060,016,KABA WETAN,BANDUNG JAYA,DUSUN 2
1708050016000100,17080500160001,050,016,KEPAHIANG,KELOBAK,DUSUN 1
1708050021001000,17080500210010,050,021,KEPAHIANG,PADANG LEKAT,RT 10 RW 2
1708020018000200,17080200180002,020,018,BERMANI ILIR,LANGGAR JAYA,DUSUN 2
1708030012000200,17080300120002,030,012,SEBERANG MUSI,BAYUNG,DUSUN 2
1708010005001000,17080100050010,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 10
1708050016000400,17080500160004,050,016,KEPAHIANG,KELOBAK,DUSUN 4
1708010004001200,17080100040012,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 12
1708050011000200,17080500110002,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 2 RW 1
1708050020000400,17080500200004,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 4 RW 2
1708050003000101,17080500030001,050,003,KEPAHIANG,IMIGRASI PERMU,DUSUN 1
1708040009000200,17080400090002,040,009,TEBAT KARAI,KARANG TENGAH,DUSUN 2
1708050013000200,17080500130002,050,013,KEPAHIANG,KARANG ANYAR,DUSUN 2
1708050020000900,17080500200009,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 9 RW 4
1708010005001400,17080100050014,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 14
1708070015000500,17080700150005,070,015,UJAN MAS,MERANTI JAYA,DUSUN 5
1708010007000400,17080100070004,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 4
1708030002000100,17080300020001,030,002,SEBERANG MUSI,AIR SELIMANG,DUSUN 1
